"#","Catégorie","Nom","Affiliation / contexte","Persona joueur","Partie 1 (Camp · Figure · Mode → Issue)","Partie 2","Partie 3","Verdict après plays"
"—","NOTE MÉTHODE","Personas plausibles","Inférés des positions publiques — pas de citations réelles","À utiliser comme outil interne d'audit ; pour avis officiel contacter via affiliation","","","",""
"52","Sociologues","Luc Boltanski","EHESS — Le Nouvel esprit du capitalisme","Cités de la justification","Salarié · Berger · Réfléchi → ANI","Patron · Asselin · Réfléchi → CPME 2020","","2-3 grilles de justification concurrentes (industrielle, civique, marchande) en mode Réfléchi"
"53","Sociologues","Stéphane Beaud","Univ. de Poitiers — sociologie ouvrière","Parole ouvrière contemporaine","Salarié · Martinez · Compulsif → 2016","","","La parole ouvrière 1980-2000 est insuffisamment incarnée ; ethnographie à enrichir"
"54","Sociologues","Dominique Méda","Paris-Dauphine — travail","Conversion écologique","Salarié · Léon · Réfléchi → 2024","","","La conversion écologique du travail manque ; à intégrer 2020+"
"55","Sociologues","Saskia Sassen","Columbia — global cities","Métropoles et expulsions","Patron · Roux de Bézieux · Réfléchi → 2017","","","Manque la dimension métropolitaine du syndicalisme post-2000"
"56","Neuro-psy","Stanislas Dehaene","Collège de France — lecture, conscience","Lecture et attention","Salarié · Léon · Réfléchi → 2024","","","Vérifier longueur de ligne mobile (45-65 caractères) ; sous-titre letter-spacing 0.18em ralentit, descendre à 0.08-0.1"
"57","Neuro-psy","Lionel Naccache","Pitié-Salpêtrière — conscience","Illusions cognitives","Salarié · Bouvier · Réfléchi → mutualité","","","Le mode Compulsif simule bien les illusions cognitives ; à mesurer en post-partie"
"58","Neuro-psy","Antonio Damasio","USC — émotions, L'erreur de Descartes","Marqueurs somatiques","Salarié · Pelletier · Compulsif → 1908","","","Les marqueurs somatiques sont sollicités par le Compulsif ; valider sur tests utilisateurs"
"59","Neuro-psy","V.S. Ramachandran","UCSD — neuroplasticité","Plasticité","Patron · Mongon · Réfléchi → branche","","","La répétition (100 tours) crée des plasticités ludiques ; à exploiter pour fixer le vocabulaire historique"
"60","IA","Yann LeCun","Meta, NYU, Turing 2018","Vision, indépendance européenne","Salarié · Berger · Réfléchi → 2016","","","Fallback Mistral (français, EU) en plus de Haiku ; question politique autant que technique"
"61","IA","Yoshua Bengio","Mila, UdeM, Turing 2018","Sécurité long terme","Salarié · Berger · Réfléchi → ANI","","","Le worker IA doit logger toutes les reformulations pour audit a posteriori"
"62","IA","Stuart Russell","UC Berkeley — AI: A Modern Approach","Alignement","Patron · Mongon · Réfléchi → branche","","","Vérifier que la pipeline FALC ne change pas le sens politique du scénario d'origine"
"63","IA","Timnit Gebru","DAIR Institute — éthique IA","Biais","Salarié · Pelletier · Compulsif → 1908","","","Auditer les biais sur figures non-blanches/colonies ; relecture par historien·ne du fait colonial"
"64","IA","Cynthia Rudin","Duke — ML interprétable","Interprétabilité","Salarié · Léon · Réfléchi → 2024","","","Toggle 'voir le texte source' obligatoire sur reformulations FALC"
"65","IA","Joëlle Pineau","Meta AI, McGill — RL","Reproductibilité","Patron · Carlac'h · Réfléchi → 2020","","","Les 100 décisions doivent être reproductibles avec seed pour études RCT"
"66","Psychologues","Steven Pinker","Harvard — langage, cognition","Densité narrative","Salarié · Berger · Réfléchi → ANI","","","Le pitch est dense ; couper à 2 paragraphes maximum"
"67","Psychologues","Carol Dweck","Stanford — growth mindset","Plasticité du trait","Salarié · Léon · Réfléchi → 2024","","","Permettre à un trait de se fissurer ; reformuler 'aucune décision n'est neutre' → 'plusieurs justes réponses'"
"68","Psychologues","Jonathan Haidt","NYU — psychologie morale","Six fondations morales","Salarié · Pelletier · Compulsif → 1908","Patron · Schneider · Réfléchi → industrie","","Les six fondations (équité, loyauté, autorité, pureté, soin, liberté) sont jouables ; à expliciter"
"69","Psychologues","Lisa Feldman Barrett","Northeastern — théorie constructiviste des émotions","Mood d'ères","Salarié · Bouvier · Réfléchi → mutualité","","","Mood d'ères à varier (1900 ≠ 1968 ≠ 2026) ; pas tout en mode solennel"
"70","Socio-éco","Philippe Steiner","Sorbonne — sociologie économique","Dons et gratuités","Salarié · Bouvier · Réfléchi → mutualité","","","Les dons et gratuités (mutualité) peu mis en valeur face aux échanges marchands"
"71","Socio-éco","Christian Topalov","EHESS — sociohistoire urbaine","Villes ouvrières","Patron · Asselin · Réfléchi → TPE","","","Les villes ouvrières (Le Creusot, Roubaix, Sochaux) comme acteurs à part entière"
"72","Socio-éco","André Orléan","PSE — économie des conventions","Conventions de qualité","Salarié · Berger · Réfléchi → ANI","","","Les conventions de qualité du travail (Niveau IV, V…) à intégrer comme objet de jeu"
"73","Socio-éco","Florence Weber","ENS — ethnographie économique","Hors-marché","Salarié · Bouvier · Réfléchi → mutualité","","","Pratiques au noir, entraide, hors-marché : peu présents"
"74","Philo/épistémo/politiste","Isabelle Stengers","ULB — cosmopolitique","Cosmopolitique des ontologies","Salarié · Pelletier · Compulsif → 1908","","","Le jeu est une cosmopolitique : faire dialoguer plusieurs ontologies du travail"
"75","Philo/épistémo/politiste","Vincent Descombes","EHESS — esprit, institution","Grammaire institutionnelle","Salarié · Thibault · Réfléchi → Sécu","","","L'institution comme grammaire collective : à expliciter dans le glossaire"
"76","Philo/épistémo/politiste","Pierre Rosanvallon","Collège de France — démocratie","Contre-démocratie","Salarié · Berger · Réfléchi → ANI","Patron · Carlac'h · Réfléchi → 2020","","La contre-démocratie (vigilance, jugement, empêchement) : peu jouée"
"77","Philo/épistémo/politiste","Chantal Mouffe","Westminster — agonisme","Conflit dans la règle","Salarié · Martinez · Compulsif → 2016","","","L'agonisme (conflit dans la règle) est exactement le paritarisme ; à théoriser"
"78","Philo/épistémo/politiste","Bernard Stiegler","Ars Industrialis (†2020) — technique","Technique et institution","Patron · Roux de Bézieux · Réfléchi → 2017","","","Lecture probable : techniques (URSSAF informatisée, plateformes) reconfigurent le paritarisme ; à creuser"
"79","Philo/épistémo/politiste","Anne Fagot-Largeault","Collège de France — épistémologie médicale","Normes de santé au travail","Salarié · Léon · Réfléchi → 2024","","","Les normes de santé au travail (RPS, AT-MP) sont sous-représentées"
"80","Anthropologues","Philippe Descola","Collège de France — Par-delà nature et culture","Ontologies","Salarié · Bouvier · Réfléchi → mutualité","","","Quelle ontologie le paritarisme suppose-t-il ? À documenter"
"81","Anthropologues","Maurice Godelier","EHESS — économie politique anthro","Don/contre-don","Patron · Schneider · Réfléchi → industrie","","","Le don/contre-don dans les négociations (concessions, faveurs) est central"
"82","Anthropologues","James C. Scott","Yale (†2024) — Seeing Like a State","Résistance aux États-bureaucraties","Salarié · Pelletier · Compulsif → 1908","","","La résistance aux États-bureaucraties (URSSAF, INSEE) à donner voix"
"83","Anthropologues","Anna Tsing","UC Santa Cruz — Mushroom at the End of the World","Friches du capitalisme","Salarié · Bouvier · Réfléchi → mutualité","","","Les zones-friches (intermittents, plateformes) reconfigurent le paritarisme depuis 2000"
"84","Paritarisme","Henri Hatzfeld","Du paupérisme à la Sécurité sociale (1971) — fondateur","Conquête sociale","Salarié · Bouvier · Réfléchi → mutualité","Salarié · Thibault · Réfléchi → Sécu","","Lecture probable : montrer le retournement paupérisme→Sécu en tour pivot, pas simple ordonnance"
"85","Paritarisme","Robert Castel","EHESS (†2013) — Métamorphoses de la question sociale","Trois âges","Salarié · Bouvier · Réfléchi → protection rapprochée","Salarié · Thibault · Réfléchi → protection sociale","Salarié · Berger · Réfléchi → désaffiliation","Trois âges comme structure de chapitres ; désaffiliation 2017+ comme rupture"
"86","Paritarisme","Bruno Valat","INU Champollion — Histoire SS 1945-1967","Historiographie SS","Patron · Seillière · Réfléchi → 1947 cogestion","Salarié · Thibault · Réfléchi → 2010","","1945 doit être collectif (Croizat + Laroque + Parodi + Buisson), pas Croizat seul"
"87","Paritarisme","Bernard Friot","Paris Nanterre — salaire socialisé","Salaire socialisé","Salarié · Friot · Compulsif → utopie salaire socialisé","Salarié · Thibault · Réfléchi → Sécu","","Distinguer salaire et salaire socialisé en glossaire et mécanique ; sinon le jeu rate la spécificité française"
"88","Paritarisme","Catherine Omnès","Versailles-Saint-Quentin — relations professionnelles","Pression interne","Salarié · Jouhaux · Réfléchi → Amiens","Patron · Schneider · Réfléchi → industrie","","La pression interne (assemblée, conseil) doit être une jauge à part de la force externe"
"89","Neuroatypiques","Temple Grandin","Colorado State — autisme, science animale","Autisme","Salarié · Léon · Réfléchi → 2024","","","Mode Réfléchi parfait pour cerveau autiste ; toggle Réfléchi/Compulsif à tout moment"
"90","Neuroatypiques","Greta Thunberg","Climat — Asperger","Climat","Salarié · Léon · Réfléchi → 2024","","","La conversion écologique du travail est urgente ; absente du jeu actuel"
"91","Neuroatypiques","Anthony Hopkins","Acteur — Asperger","Voix intérieures","Salarié · Bouvier · Réfléchi → mutualité","","","Lecture probable : les voix intérieures (Compulsif) sont émotionnellement justes"
"92","Neuroatypiques","Daniel Tammet","Auteur — Asperger/synesthésie","Synesthésie","Salarié · Pelletier · Compulsif → 1908","","","Trop d'éléments dorés saturent ; hiérarchiser. Couleurs des camps configurables"
"93","Neuroatypiques","Susan Boyle","Chanteuse — Asperger","Persévérance","Salarié · Bouvier · Réfléchi → mutualité","","","Lecture probable : la persévérance face aux institutions résonne"
"94","Nobel","Esther Duflo","MIT — Nobel Économie 2019","RCT pour politiques sociales","Patron · Carlac'h · Réfléchi → 2020","","","Anonymiser et publier les agrégats des 100 décisions ; étude RCT publiable"
"95","Nobel","Amartya Sen","Harvard — Nobel Économie 1998","Capabilités","Salarié · Berger · Réfléchi → ANI","","","Indicateur final : 'De combien de futurs ton personnage disposait-il ?'"
"96","Nobel","Jean Tirole","TSE — Nobel Économie 2014","Régulation, marchés bilatéraux","Patron · Mongon · Réfléchi → branche","","","Marchés bilatéraux du paritarisme : modéliser l'asymétrie d'information explicitement"
"97","Nobel","Daniel Kahneman","Princeton (†2024) — Nobel Économie 2002","Système 1 / Système 2","Salarié · Berger · Réfléchi → ANI","Salarié · Martinez · Compulsif → 2016","","Compteur de changements d'avis au survol ; signal cognitif à restituer"
"98","Nobel","Geoffrey Hinton","Toronto — Nobel Physique 2024","Deep learning, alarme alignement","Salarié · Léon · Réfléchi → 2024","","","Si l'IA reformule, vérifier qu'elle n'introduit pas de drift idéologique ; auditer le RLHF"
"99","Nobel","Annie Ernaux","Nobel Littérature 2022","Honte sociale","Salarié · Bouvier · Réfléchi → mutualité","Salarié · Notat · Réfléchi → 1995","","7e jauge cachée Honte/Fierté ; ressort des récits ouvriers réels"
"100","Nobel","Maria Ressa","Rappler — Nobel Paix 2021","Désinformation","Patron · Roux de Bézieux · Réfléchi → 2017","","","Les fake news syndicales/patronales 2010+ sont sous-jouées dans le rapport de force"
"101","Cybernéticiens","Norbert Wiener","MIT (†1964) — fondateur cybernétique","Lit le système comme boucles de rétroaction ; observe avant d'agir","Patron · Schneider · Réfléchi → Sécu 1945 conservée, Gini 0.40","Salarié · Jouhaux · Réfléchi → Amiens fortifiée, Matignon signé","","Manque une visualisation des boucles causales entre les 6 ressources"
"102","Cybernéticiens","Heinz von Foerster","BCL Illinois (†2002) — cybernétique seconde","Se sait observateur du système qu'il joue","Salarié · Pelletier · Compulsif → schisme anarcho-syndicaliste 1908","Patron · Seillière · Réfléchi → cogestion 1947 ratifiée","","Demande un méta-compteur ‘le joueur s'observe-t-il jouer ?'"
"103","Cybernéticiens","Stafford Beer","Cybersyn Allende (†2002)","Cherche le Viable System Model dans la cogestion","Salarié · Thibault · Réfléchi → Sécu modernisée, ARS contenue","Patron · Parisot · Réfléchi → flexisécurité 2008 signée","","Approche un VSM mais ignore le niveau 5 d'identité institutionnelle"
"104","Cybernéticiens","Gregory Bateson","Macy Conferences (†1980)","Lit le double-bind dans les négociations paritaires","Salarié · Notat · Compulsif → schisme CGT-CFDT 1995 vécu","Patron · Schneider · Réfléchi → ambiguïté Vichy assumée","","Reproduit bien les pathologies relationnelles de la cogestion"
"105","Cybernéticiens","Humberto Maturana","Santiago (†2021) — autopoïèse","Le syndicat est-il autopoïétique ? Cherche les frontières maintenues","Salarié · Jouhaux · Réfléchi → Amiens comme clôture opérationnelle","Patron · Gattaz · Réfléchi → MEDEF restructuré post-2017","","Expliciter quand une institution cesse d'être elle-même"
"106","Cybernéticiens","Francisco Varela","École polytechnique (†2001) — embodied","Joue lentement, attentif aux affects du Compulsif","Salarié · Baud · Compulsif → Vizille 1906, défaite digne","","","Le Compulsif touche juste, manque les pauses respiratoires"
"107","Cybernéticiens","W. Ross Ashby","BCL (†1972) — Design for a Brain","Cherche l'homéostasie des 6 jauges","Patron · Seillière · Réfléchi → équilibre stable post-1995","Salarié · Berger · Réfléchi → loi Travail 2016 négociée","","Loi de variété requise : 7 leviers pour 6 ressources"
"108","Cybernéticiens","Margaret Mead","Columbia (†1978) — Macy","Joue ethnographiquement, prend des notes sur les rituels","Salarié · Bouvier · Réfléchi → mutualité ouvrière conservée","","","Demande des variantes culturelles à la cérémonie de signature"
"109","Cybernéticiens","Gordon Pask","Brunel (†1996) — cybernétique conversationnelle","Décision = conversation interne ; s'arrête souvent","Salarié · Notat · Réfléchi → CFDT recentrée 1995","Patron · Carlac'h · Réfléchi → diversité signée 2020","","Le dialogue intérieur Compulsif est trop monologuant"
"110","Cybernéticiens","Edgar Morin","EHESS — pensée complexe","Refuse les choix binaires, cherche la dialogique","Salarié · Berger · Réfléchi → loi Travail dialoguée","Patron · Asselin · Réfléchi → TPE intégrées","Salarié · Friot (théoricien) · Compulsif → utopie salaire socialisé","Le verdict final reste trop linéaire malgré la complexité du jeu"
"111","Sciences éducation","Philippe Meirieu","Lyon 2 — pédagogue","Note la progressivité, défend le droit à l'erreur","Salarié · Léon · Réfléchi → loi Travail 2024 ajustée","Patron · Picon · Réfléchi → apprentissage refondu 2026","","La dimension formative est forte mais le tutoriel devrait laisser jouer faux 5 tours"
"112","Sciences éducation","Olivier Houdé","Sorbonne — neuroéducation","Cherche le moment où l'inhibition cognitive bascule","Salarié · Berger · Réfléchi → loi El Khomri retravaillée","Patron · Gattaz · Réfléchi → ordonnances 2017","","Le mode Réfléchi déclenche bien le Système 2 ; à mesurer en post-partie"
"113","Sciences éducation","André Tricot","Paul-Valéry Montpellier — charge cognitive","Mesure la charge cognitive en ligne","Salarié · Léon · Réfléchi → mandat tenu","Patron · Roux de Bézieux · Réfléchi → réforme retraites 2023","","La densité des cartouches XIXe sature la mémoire de travail mobile"
"114","Sciences éducation","Mireille Cifali","Genève — clinique pédagogique","Qu'apprend-on de soi en jouant ?","Salarié · Pelletier · Compulsif → engagement total, défaite","","","Le retour réflexif post-partie est trop bref ; ajouter un journal de jeu"
"115","Sciences éducation","Bernard Charlot","Paris 8 — rapport au savoir","Qu'est-ce qui fait sens ici ?","Salarié · Bouvier · Réfléchi → mutualité maintenue","Patron · Asselin · Réfléchi → CPME 2020","","Le glossaire est essentiel ; le rendre obligatoire pour 5 termes"
"116","Sciences éducation","Anne-Marie Chartier","INRP — lecture et histoire scolaire","Vérifie la lisibilité des sources primaires","Salarié · Notat · Réfléchi → CFDT recentrée","","","Le ton FALC est juste ; vérifier la lisibilité des citations historiques"
"117","Sciences éducation","Jean Houssaye","Rouen — triangle pédagogique","Examine la triade joueur/jeu/histoire","Salarié · Thibault · Réfléchi → Sécu modernisée","Patron · Carlac'h · Réfléchi → diversité 2020","","Le triangle est asymétrique : le jeu parle trop, l'histoire trop peu"
"118","Sciences éducation","Britt-Mari Barth","ICP Paris — apprendre à apprendre","Cherche la conceptualisation par cas","Salarié · Berger · Réfléchi → loi Travail dialoguée","","","Excellent matériau de cas, manque les invariants formels à dégager"
"119","Sciences éducation","Sugata Mitra","Newcastle — hole-in-the-wall","Tester sans tuteur : le jeu se découvre seul ?","Salarié · Pelletier · Compulsif → exploration libre","Patron · Schneider · Compulsif → exploration libre","","Le tutoriel est trop dirigiste ; permettre de l'ignorer dès le début"
